Abbreviation,Site,County,State,Latitude,Longitude,Ecoregion (Level III),Ecoregion (Level IV)
2MW02,Maywoods-North,Garrard,KY,37.485097,-84.434853,Interior Plateau (71),Knobs-Norman Upland (71c)
2MW03,Maywoods-North,Garrard,KY,37.484882,-84.433955,Interior Plateau (71),Knobs-Norman Upland (71c)
2MW04,Maywoods-North,Garrard,KY,37.484949,-84.434558,Interior Plateau (71),Knobs-Norman Upland (71c)
2MW08,Maywoods-North,Garrard,KY,37.484964,-84.433895,Interior Plateau (71),Knobs-Norman Upland (71c)
2MW12,Maywoods-North,Garrard,KY,37.484486,-84.434320,Interior Plateau (71),Knobs-Norman Upland (71c)
2MW14,Maywoods-North,Garrard,KY,37.485330,-84.434183,Interior Plateau (71),Knobs-Norman Upland (71c)
2MW16,Maywoods-North,Garrard,KY,37.484347,-84.434388,Interior Plateau (71),Knobs-Norman Upland (71c)
2MW17,Maywoods-North,Garrard,KY,37.485172,-84.434395,Interior Plateau (71),Knobs-Norman Upland (71c)
2MW19,Maywoods-North,Garrard,KY,37.485147,-84.434287,Interior Plateau (71),Knobs-Norman Upland (71c)
2MW20,Maywoods-North,Garrard,KY,37.484463,-84.434247,Interior Plateau (71),Knobs-Norman Upland (71c)
2MW21,Maywoods-North,Garrard,KY,37.485164,-84.434337,Interior Plateau (71),Knobs-Norman Upland (71c)
2MW22,Maywoods-North,Garrard,KY,37.484470,-84.434320,Interior Plateau (71),Knobs-Norman Upland (71c)
2MW23,Maywoods-North,Garrard,KY,37.485247,-84.434587,Interior Plateau (71),Knobs-Norman Upland (71c)
2MW24,Maywoods-North,Garrard,KY,37.484108,-84.4347285,Interior Plateau (71),Knobs-Norman Upland (71c)
5RF007,Robinson Forest Site 3,Breathitt,KY,37.468622,-83.135544,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF008,Robinson Forest Site 3,Breathitt,KY,37.468612,-83.135558,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF009,Robinson Forest Site 3,Breathitt,KY,37.468612,-83.135558,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF010,Robinson Forest Site 3,Breathitt,KY,37.468992,-83.135170,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF011,Robinson Forest Site 3,Breathitt,KY,37.469092,-83.134506,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF012,Robinson Forest Site 3,Breathitt,KY,37.468970,-83.135117,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF013,Robinson Forest Site 3,Breathitt,KY,37.468612,-83.135003,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF015,Robinson Forest Site 3,Breathitt,KY,37.468612,-83.135003,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF016,Robinson Forest Site 3,Breathitt,KY,37.468612,-83.135003,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF017,Robinson Forest Site 3,Breathitt,KY,37.468612,-83.135278,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF018,Robinson Forest Site 3,Breathitt,KY,37.468612,-83.135278,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
5RF019,Robinson Forest Site 3,Breathitt,KY,37.468997,-83.135353,Appalachian Plateau (69),Dissected Appalachian Plateau (69d)
